pn_skid,kc_skid,pn_names,kc_names,claw_ids
73937,6510,Uniglomerular mALT VL1 ilPN bilateral 73938 LK,KCy 6511 IJA,6510.1
22277,6510,Uniglomerular mALT VC3m lvPN 22278 AA,KCy 6511 IJA,6510.2
37250,6510,Uniglomerular mALT DA4m adPN 37251 JMR,KCy 6511 IJA,6510.3
39254,6582,Uniglomerular mALT VC5 adPN 39255 JMR,KCy 6583 SAC,6582.1
57414,6582,Uniglomerular mALT DC3 adPN 57415 LK,KCy 6583 SAC,6582.2
16,6582,Uniglomerular mALT VA6 adPN 017 DB,KCy 6583 SAC,6582.3
58686,6582,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCy 6583 SAC,6582.4
57410,6582,Uniglomerular mALT VA7l adPN 57411 NS,KCy 6583 SAC,6582.5
54072,6582,Uniglomerular mALT VM2 adPN 54073 JMR,KCy 6583 SAC,6582.6
65762,6618,Uniglomerular mALT DC2 adPN 65763 AJ,KCy 6619 BH,6618.1
23432,6618,Uniglomerular mALT VA2 adPN 23433 AA,KCy 6619 BH,6618.2
28876,6618,Uniglomerular mALT DM3 adPN 28877 JMR,KCy 6619 BH,6618.3
30434,6630,Uniglomerular mALT VM5v adPN 30435 BH,KCy 6631 IJA,6630.1
11524119,6630,Uniglomerular lALT VP1m l2PN 65701 AJ ECM,KCy 6631 IJA,6630.2
55125,6630,Uniglomerular mALT VA1v adPN 55126 BH,KCy 6631 IJA,6630.3
1785034,6630,Uniglomerular mALT DA2 lPN 57399 LK,KCy 6631 IJA,6630.4
57365,6630,Uniglomerular mALT VA5 lPN 57366 NS,KCy 6631 IJA,6630.5
23134,6662,Uniglomerular mALT VC3l adPN 23135 BH,KCy 6663 CF,6662.1
57402,6662,Uniglomerular mALT DC2 adPN 57403 SM,KCy 6663 CF,6662.2
30891,6662,Uniglomerular mALT DM1 lPN 30892 BH,KCy 6663 CF,6662.3
40637,6662,Uniglomerular mALT D adPN 40638 BH,KCy 6663 CF,6662.4
16,6662,Uniglomerular mALT VA6 adPN 017 DB,KCy 6663 CF,6662.5
771242,6662,Uniglomerular mALT DC1 adPN 23665 AA,KCy 6663 CF,6662.6
51080,6662,Uniglomerular mALT VA1v adPN 57251 LK,KCy 6663 CF,6662.7
58686,6662,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCy 6663 CF,6662.8
57410,6662,Uniglomerular mALT VA7l adPN 57411 NS,KCy 6663 CF,6662.9
581536,6762,Uniglomerular mALT DL3 lPN 47095 JMR,KCy 6763 ARH IJA,6762.1
57246,6762,Uniglomerular mALT VA1v adPN 57247 HG,KCy 6763 ARH IJA,6762.2
21999,6762,Uniglomerular mALT VL2a adPN 22000 JMR,KCy 6763 ARH IJA,6762.3
35246,6762,Uniglomerular mALT D adPN 35247 AA,KCy 6763 ARH IJA,6762.4
45242,6762,Uniglomerular mALT VC2 lPN 45243 AA,KCy 6763 ARH IJA,6762.5
22976,6762,Uniglomerular mALT VL2p adPN 22977 JMR,KCy 6763 ARH IJA,6762.6
57323,6762,Uniglomerular mALT DA1 lPN 57324 LK JSL,KCy 6763 ARH IJA,6762.7
61221,6838,Uniglomerular mALT DA1 lPN 61222 AJ,KCy 6839 IJA,6838.1
55125,6838,Uniglomerular mALT VA1v adPN 55126 BH,KCy 6839 IJA,6838.2
40749,6838,Uniglomerular mALT DA4l adPN 40750 BH,KCy 6839 IJA,6838.3
45242,6838,Uniglomerular mALT VC2 lPN 45243 AA,KCy 6839 IJA,6838.4
57323,6838,Uniglomerular mALT DA1 lPN 57324 LK JSL,KCy 6839 IJA,6838.5
37250,6934,Uniglomerular mALT DA4m adPN 37251 JMR,KCy 6935 IJA,6934.1
192547,6934,Uniglomerular lALT V ilPN bilateral 192548 EAM GSXEJ RJVR,KCy 6935 IJA,6934.2
36108,6934,Uniglomerular mALT VA7m lPN 36109 BH,KCy 6935 IJA,6934.3
28876,6934,Uniglomerular mALT DM3 adPN 28877 JMR,KCy 6935 IJA,6934.4
32399,7118,Uniglomerular mALT DC3 adPN 32400 AA,KCy 7119 AA,7118.1
32399,7118,Uniglomerular mALT DC3 adPN 32400 AA,KCy 7119 AA,7118.2
35246,7118,Uniglomerular mALT D adPN 35247 AA,KCy 7119 AA,7118.3
21999,7118,Uniglomerular mALT VL2a adPN 22000 JMR,KCy 7119 AA,7118.4
35447,7118,Uniglomerular mALT VM5d adPN 35448 AA,KCy 7119 AA,7118.5
27048,7118,Uniglomerular mALT DP1l adPN 27049 BH,KCy 7119 AA,7118.6
22132,7150,Uniglomerular mALT VC1 lPN 22133 BH,KCy 7151 SAC,7150.1
16,7150,Uniglomerular mALT VA6 adPN 017 DB,KCy 7151 SAC,7150.2
1775706,7150,Uniglomerular mALT DL1 adPN 22153 JMR,KCy 7151 SAC,7150.3
41578,7150,Uniglomerular mALT VC3l adPN 41579 AJ,KCy 7151 SAC,7150.4
28876,7222,Uniglomerular mALT DM3 adPN 28877 JMR,KCy 7223 LF IJA,7222.1
27884,7222,Uniglomerular lALT V ilPN bilateral 27885 JMR,KCy 7223 LF IJA,7222.2
23569,7222,Uniglomerular mALT VA4 lPN 23570 AA,KCy 7223 LF IJA,7222.3
30891,7222,Uniglomerular mALT DM1 lPN 30892 BH,KCy 7223 LF IJA,7222.4
27611,7222,Uniglomerular mALT DM5 lPN 27612 JMR,KCy 7223 LF IJA,7222.5
22132,7282,Uniglomerular mALT VC1 lPN 22133 BH,KCa'B'ap 7283 IJA,7282.1
16,7282,Uniglomerular mALT VA6 adPN 017 DB,KCa'B'ap 7283 IJA,7282.2
39254,7286,Uniglomerular mALT VC5 adPN 39255 JMR,KCa'B'ap 7287 EAM,7286.1
57516,7286,Uniglomerular mALT VP2 adPN 57517 LK ECM,KCa'B'ap 7287 EAM,7286.2
1775706,7286,Uniglomerular mALT DL1 adPN 22153 JMR,KCa'B'ap 7287 EAM,7286.3
30434,7302,Uniglomerular mALT VM5v adPN 30435 BH,KCy 7303 BG,7302.1
771242,7302,Uniglomerular mALT DC1 adPN 23665 AA,KCy 7303 BG,7302.2
1775706,7302,Uniglomerular mALT DL1 adPN 22153 JMR,KCy 7303 BG,7302.3
22976,7302,Uniglomerular mALT VL2p adPN 22977 JMR,KCy 7303 BG,7302.4
771242,7302,Uniglomerular mALT DC1 adPN 23665 AA,KCy 7303 BG,7302.5
23569,7302,Uniglomerular mALT VA4 lPN 23570 AA,KCy 7303 BG,7302.6
27611,7302,Uniglomerular mALT DM5 lPN 27612 JMR,KCy 7303 BG,7302.7
39682,7302,Uniglomerular mALT DM4 adPN 39683 JMR,KCy 7303 BG,7302.8
55125,7330,Uniglomerular mALT VA1v adPN 55126 BH,KCa'B'ap 7331 BH,7330.1
46493,7330,Uniglomerular mALT DC4 adPN 46494 JMR,KCa'B'ap 7331 BH,7330.2
57516,7362,Uniglomerular mALT VP2 adPN 57517 LK ECM,KCa'B'ap 7363 IJA,7362.1
192547,7362,Uniglomerular lALT V ilPN bilateral 192548 EAM GSXEJ RJVR,KCa'B'ap 7363 IJA,7362.2
186573,7362,Uniglomerular mALT VA7m lPN 21764 AA,KCa'B'ap 7363 IJA,7362.3
27048,7410,Uniglomerular mALT DP1l adPN 27049 BH,KCa'B'm 7411 IJA,7410.1
61773,7410,Uniglomerular mALT DL2v adPN 61774 JMR,KCa'B'm 7411 IJA,7410.2
56623,7410,Uniglomerular mALT DL2v adPN 56624 BH,KCa'B'm 7411 IJA,7410.3
24251,7410,Uniglomerular mALT VM7v adPN 24252 LK,KCa'B'm 7411 IJA,7410.4
39682,7410,Uniglomerular mALT DM4 adPN 39683 JMR,KCa'B'm 7411 IJA,7410.5
56424,7410,Uniglomerular mALT DM2 lPN 56425 BH,KCa'B'm 7411 IJA,7410.6
27048,7414,Uniglomerular mALT DP1l adPN 27049 BH,KCa'B'm 7415 IJA,7414.1
58686,7414,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCa'B'm 7415 IJA,7414.2
57402,7414,Uniglomerular mALT DC2 adPN 57403 SM,KCa'B'm 7415 IJA,7414.3
27884,7418,Uniglomerular lALT V ilPN bilateral 27885 JMR,KCa'B'm 7419 EAM,7418.1
58686,7418,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCa'B'm 7419 EAM,7418.2
23569,7418,Uniglomerular mALT VA4 lPN 23570 AA,KCa'B'm 7419 EAM,7418.3
30891,7418,Uniglomerular mALT DM1 lPN 30892 BH,KCa'B'm 7419 EAM,7418.4
51080,7418,Uniglomerular mALT VA1v adPN 57251 LK,KCa'B'm 7419 EAM,7418.5
49865,7418,Uniglomerular mALT VM5d adPN 49866 JMR,KCa'B'm 7419 EAM,7418.6
41578,7430,Uniglomerular mALT VC3l adPN 41579 AJ,KCa'B'm 7431 IJA,7430.1
39682,7430,Uniglomerular mALT DM4 adPN 39683 JMR,KCa'B'm 7431 IJA,7430.2
23432,7430,Uniglomerular mALT VA2 adPN 23433 AA,KCa'B'm 7431 IJA,7430.3
21999,7454,Uniglomerular mALT VL2a adPN 22000 JMR,KCaBs 7455 IJA,7454.1
57361,7454,Uniglomerular mALT VA5 lPN 57362 ML,KCaBs 7455 IJA,7454.2
22976,7454,Uniglomerular mALT VL2p adPN 22977 JMR,KCaBs 7455 IJA,7454.3
771242,7454,Uniglomerular mALT DC1 adPN 23665 AA,KCaBs 7455 IJA,7454.4
581536,7454,Uniglomerular mALT DL3 lPN 47095 JMR,KCaBs 7455 IJA,7454.5
27611,7466,Uniglomerular mALT DM5 lPN 27612 JMR,KCaBs 7467 IJA,7466.1
49865,7466,Uniglomerular mALT VM5d adPN 49866 JMR,KCaBs 7467 IJA,7466.2
23569,7466,Uniglomerular mALT VA4 lPN 23570 AA,KCaBs 7467 IJA,7466.3
23134,7466,Uniglomerular mALT VC3l adPN 23135 BH,KCaBs 7467 IJA,7466.4
58686,7466,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCaBs 7467 IJA,7466.5
22976,7466,Uniglomerular mALT VL2p adPN 22977 JMR,KCaBs 7467 IJA,7466.6
23134,7466,Uniglomerular mALT VC3l adPN 23135 BH,KCaBs 7467 IJA,7466.7
27048,7466,Uniglomerular mALT DP1l adPN 27049 BH,KCaBs 7467 IJA,7466.8
192547,7506,Uniglomerular lALT V ilPN bilateral 192548 EAM GSXEJ RJVR,KCa'B'ap 7507 IJA,7506.1
57323,7506,Uniglomerular mALT DA1 lPN 57324 LK JSL,KCa'B'ap 7507 IJA,7506.2
37513,7506,Biglomerular mALT VP3 + VP1l ivPN bilateral 37489 AJ,KCa'B'ap 7507 IJA,7506.3
771242,7506,Uniglomerular mALT DC1 adPN 23665 AA,KCa'B'ap 7507 IJA,7506.4
27884,7542,Uniglomerular lALT V ilPN bilateral 27885 JMR,KCa'B'ap 7543 IJA,7542.1
22976,7542,Uniglomerular mALT VL2p adPN 22977 JMR,KCa'B'ap 7543 IJA,7542.2
16,7634,Uniglomerular mALT VA6 adPN 017 DB,KCa'B'ap 7635 BH,7634.1
27048,7634,Uniglomerular mALT DP1l adPN 27049 BH,KCa'B'ap 7635 BH,7634.2
16,7634,Uniglomerular mALT VA6 adPN 017 DB,KCa'B'ap 7635 BH,7634.3
49865,7646,Uniglomerular mALT VM5d adPN 49866 JMR,KCa'B'm 7647 LK,7646.1
58686,7646,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCa'B'm 7647 LK,7646.2
30891,7646,Uniglomerular mALT DM1 lPN 30892 BH,KCa'B'm 7647 LK,7646.3
27884,7646,Uniglomerular lALT V ilPN bilateral 27885 JMR,KCa'B'm 7647 LK,7646.4
192547,7646,Uniglomerular lALT V ilPN bilateral 192548 EAM GSXEJ RJVR,KCa'B'm 7647 LK,7646.5
16,7702,Uniglomerular mALT VA6 adPN 017 DB,KCaBs 7703 AEB,7702.1
40306,7702,Uniglomerular mALT VM7d adPN 40307 CF,KCaBs 7703 AEB,7702.2
58686,7702,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCaBs 7703 AEB,7702.3
57414,7702,Uniglomerular mALT DC3 adPN 57415 LK,KCaBs 7703 AEB,7702.4
22906,7702,Uniglomerular mALT VA5 lPN 22907 JMR,KCaBs 7703 AEB,7702.5
56623,7734,Uniglomerular mALT DL2v adPN 56624 BH,KCy 7735 IJA,7734.1
11524119,7734,Uniglomerular lALT VP1m l2PN 65701 AJ ECM,KCy 7735 IJA,7734.2
35246,7734,Uniglomerular mALT D adPN 35247 AA,KCy 7735 IJA,7734.3
58686,7734,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCy 7735 IJA,7734.4
11544121,7734,Uniglomerular mALT VM7d adPN 40791 BH,KCy 7735 IJA,7734.5
41308,7806,Uniglomerular mALT VM3 adPN 41309 BH,KCy 7807 NS,7806.1
27884,7806,Uniglomerular lALT V ilPN bilateral 27885 JMR,KCy 7807 NS,7806.2
41308,7806,Uniglomerular mALT VM3 adPN 41309 BH,KCy 7807 NS,7806.3
23432,7806,Uniglomerular mALT VA2 adPN 23433 AA,KCy 7807 NS,7806.4
22976,7806,Uniglomerular mALT VL2p adPN 22977 JMR,KCy 7807 NS,7806.5
55085,7806,Uniglomerular mALT VC4 adPN 55086 AJ,KCy 7807 NS,7806.6
23569,7806,Uniglomerular mALT VA4 lPN 23570 AA,KCy 7807 NS,7806.7
40749,7834,Uniglomerular mALT DA4l adPN 40750 BH,KCy 7835 IJA,7834.1
23569,7834,Uniglomerular mALT VA4 lPN 23570 AA,KCy 7835 IJA,7834.2
40749,7834,Uniglomerular mALT DA4l adPN 40750 BH,KCy 7835 IJA,7834.3
58686,7834,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCy 7835 IJA,7834.4
28876,7834,Uniglomerular mALT DM3 adPN 28877 JMR,KCy 7835 IJA,7834.5
24251,7870,Uniglomerular mALT VM7v adPN 24252 LK,KCy 7871 IJA,7870.1
30434,7870,Uniglomerular mALT VM5v adPN 30435 BH,KCy 7871 IJA,7870.2
42421,7870,Uniglomerular mALT VA1d adPN 42422 JMR,KCy 7871 IJA,7870.3
22976,7870,Uniglomerular mALT VL2p adPN 22977 JMR,KCy 7871 IJA,7870.4
35246,7870,Uniglomerular mALT D adPN 35247 AA,KCy 7871 IJA,7870.5
57410,7910,Uniglomerular mALT VA7l adPN 57411 NS,KCy 7911 BG,7910.1
22277,7910,Uniglomerular mALT VC3m lvPN 22278 AA,KCy 7911 BG,7910.2
39668,7910,Uniglomerular mALT DL5 adPN 39669 JMR,KCy 7911 BG,7910.3
39668,7910,Uniglomerular mALT DL5 adPN 39669 JMR,KCy 7911 BG,7910.4
