activated,conn,group,means,stds
target,observed,all_comm,0.10101000000000002,0.07879326440521003
non-target,observed,all_comm,0.15917333333333336,0.09492263450708312
target,random_bouton,all_comm,0.1305466666666667,0.09186929505833401
non-target,random_bouton,all_comm,0.15525666666666668,0.09826042308278433
target,observed,core_comm,0.20508666666666667,0.10755336833112482
non-target,observed,core_comm,0.25114000000000003,0.11294924394933517
target,random_bouton,core_comm,0.23474666666666663,0.11019626495743831
non-target,random_bouton,core_comm,0.25003333333333333,0.11161501398418684
target,observed,food,0.08052666666666669,0.070109063729097
non-target,observed,food,0.138,0.08955893076744507
target,random_bouton,food,0.11065666666666667,0.08630670314015541
non-target,random_bouton,food,0.13139,0.09154388950742913
target,observed,banana,0.22255999999999995,0.11022116727296959
non-target,observed,banana,0.24674000000000001,0.11215449283477814
target,random_bouton,banana,0.24692999999999998,0.11306865267919546
non-target,random_bouton,banana,0.24908666666666662,0.11231990354175309
