,glom_anno_id,bouton_count
0,1419201,22
1,2500563,5
2,1419144,15
3,2500515,9
4,1283123,11
5,2500530,6
6,1419157,6
7,5304188,11
8,1419095,20
9,1283107,6
10,1419102,9
11,1419198,4
12,1419148,5
13,2500615,11
14,2500575,14
15,1419153,8
16,1419214,10
17,1419114,5
18,1283103,9
19,1419088,6
20,1283111,11
21,1419171,6
22,1419133,16
23,2500548,10
24,4587289,12
25,1419110,13
26,1419178,9
27,2468810,5
28,1419195,7
29,1194543,13
30,3243803,3
31,2500599,4
32,1419168,12
33,1419230,15
34,4672152,5
35,1419073,7
36,1419099,8
37,1419219,8
38,1419121,18
39,1194549,11
40,1419118,6
41,1419070,12
42,1419192,4
43,4502221,7
44,2500472,16
45,2500585,6
46,5604551,9
47,1419080,5
48,1419211,9
49,1419077,2
50,2500556,12
51,1419182,11
52,1419126,9
53,2500501,7
