,0,1,2,3,4,anno_ids_0,anno_ids_1,anno_ids_2,anno_ids_3,anno_ids_4,kc_ids
0,DA1,VA6,DA1,VL2p,VC1,1419201,2500515,1419201,1419126,1419195,14342
1,VC2,VL2p,DP1l,DA1,DA3,1419099,1419126,2500556,1419201,2500563,14342
2,VA1v,VA6,VC3l,VM5d,DC3,2500585,2500515,4587289,1194543,1283111,14342
3,DM4,DM1,DP1m,DM2,DP1l,1419070,1419230,2500472,1419110,2500556,14342
4,DM1,DP1m,VA4,DM4,DM1,1419230,2500472,1283123,1419070,1419230,14342
5,DA2,DC2,DA1,VC2,VA5,1419133,1283103,1419201,1419099,2500530,3104789
6,VA5,DA3,DM5,VC1,VA7l,2500530,2500563,1419102,1419195,1419088,3104789
7,VA6,VM7v,DA1,DL1,VL2p,2500515,1419157,1419201,1419144,1419126,3104789
8,VA1d,VC3l,VP1,DL4,DL1,1283107,4587289,5304188,1419192,1419144,16406
9,DP1m,VA7m,VA3,DA1,DL1,2500472,1419121,1419182,1419201,1419144,16406
10,DL1,VA3,DA1,VM4,DL1,1419144,1419182,1419201,1419198,1419144,16406
11,VA7m,DL2d,DM5,VA5,VM1,1419121,1419171,1419102,2500530,1419153,16406
12,DA4m,VL1,VP3,DA2,VA7m,1419080,2500599,3243803,1419133,1419121,8218
13,VM1,DA2,DA2,DA2,VM1,1419153,1419133,1419133,1419133,1419153,8218
14,VC5,DA2,VC1,VA7m,VC3m,5604551,1419133,1419195,1419121,2500575,8218
15,DA4m,DM6,VA7m,DM6,VM7d,1419080,2500548,1419121,2500548,1419114,8218
16,VM5d,VM5v,DC1,DL5,DA4m,1194543,1194549,1419168,1419118,1419080,16410
17,VM5v,VA5,VA7m,VC3m,DP1m,1194549,2500530,1419121,2500575,2500472,16410
18,DL1,DA1,VM4,VA3,D,1419144,1419201,1419198,1419182,1419148,16418
19,VA1v,DC3,DL1,VA1v,VA1v,2500585,1283111,1419144,2500585,2500585,16418
20,DC2,VC3l,DM6,VC5,DC4,1283103,4587289,2500548,5604551,1419077,2050082
21,DL2v,DM5,VA2,DL2v,VM2,1419214,1419102,1419211,1419214,1419073,2050082
22,VL2a,DL1,DC3,DM6,VA6,2500501,1419144,1283111,2500548,2500515,2050082
23,VM7v,DC2,VM7d,VM5v,DL5,1419157,1283103,1419114,1194549,1419118,2238508
24,VC3l,VM5d,DM6,VM5v,VC4,4587289,1194543,2500548,1194549,2500615,2238508
25,VA6,VC1,DC1,VL2p,VC5,2500515,1419195,1419168,1419126,5604551,2238508
26,DP1l,DA4l,DL2d,VM4,VM4,2500556,4502221,1419171,1419198,1419198,2238508
27,DA2,VA7m,DA2,DM5,DA3,1419133,1419121,1419133,1419102,2500563,2238508
28,DL2v,DP1l,V,VM3,DL2v,1419214,2500556,1419095,1419178,1419214,2238508
29,VC5,DL2d,VC3m,DL1,DP1l,5604551,1419171,2500575,1419144,2500556,36909
30,VM3,DP1l,DL2v,VA4,V,1419178,2500556,1419214,1283123,1419095,36909
31,VA6,VC1,DC1,VL2p,DA1,2500515,1419195,1419168,1419126,1419201,36909
32,VC5,DC1,VC3m,V,VP2,5604551,1419168,2500575,1419095,4672152,36909
33,VC3m,VC5,V,DC1,DA3,2500575,5604551,1419095,1419168,2500563,36909
34,VM7d,VM5v,DC4,DL5,DM6,1419114,1194549,1419077,1419118,2500548,8238
35,VA5,DL1,VA5,VA3,VA7m,2500530,1419144,2500530,1419182,1419121,8238
36,VA7m,VA3,VA5,VA5,DM5,1419121,1419182,2500530,2500530,1419102,8238
37,DA3,VC3l,VA3,VC4,VM5d,2500563,4587289,1419182,2500615,1194543,8238
38,VL2p,VA6,DP1m,DC1,DL2v,1419126,2500515,2500472,1419168,1419214,59438
39,DM3,V,VM3,V,VA4,1419219,1419095,1419178,1419095,1283123,59438
40,DL1,DL1,DP1l,DA1,DL2d,1419144,1419144,2500556,1419201,1419171,59438
41,DM1,DP1m,V,VA4,DM4,1419230,2500472,1419095,1283123,1419070,59438
42,DP1m,DM4,DL2v,DM2,DM5,2500472,1419070,1419214,1419110,1419102,59438
43,DL2v,VA7l,VC3m,DL2v,VC4,1419214,1419088,2500575,1419214,2500615,59438
44,DM1,DP1m,VA4,VC2,VL2p,1419230,2500472,1283123,1419099,1419126,8242
45,DA1,VA1d,DA1,DA1,DC3,1419201,1283107,1419201,1419201,1283111,8242
46,VA4,DM4,V,DM3,DM1,1283123,1419070,1419095,1419219,1419230,8242
47,VL2a,VA1d,DA1,VA6,DA1,2500501,1283107,1419201,2500515,1419201,8242
48,VL2a,VA1d,VA6,DA1,VM5d,2500501,1283107,2500515,1419201,1194543,8242
49,VA3,VA5,DP1m,DL2v,DA1,1419182,2500530,2500472,1419214,1419201,59446
50,VM1,DP1l,DL2d,VM1,DM5,1419153,2500556,1419171,1419153,1419102,59446
51,VC1,DC1,VC1,DP1m,VP1,1419195,1419168,1419195,2500472,5304188,59446
52,VP1,DA4l,DA2,VC5,VP3,5304188,4502221,1419133,5604551,3243803,59446
53,DL2d,VA7m,DM5,DA4l,VC5,1419171,1419121,1419102,4502221,5604551,59446
54,VC5,DC1,VC3m,V,VP2,5604551,1419168,2500575,1419095,4672152,204856
55,DL2d,DL2v,VM1,VA7m,DL2v,1419171,1419214,1419153,1419121,1419214,204856
56,DM5,VP2,DA2,VA7l,VP1,1419102,4672152,1419133,1419088,5304188,204856
57,VL2a,VC3m,VM4,VM4,DP1l,2500501,2500575,1419198,1419198,2500556,204856
58,DA4l,DL2d,DP1m,DM5,DP1l,4502221,1419171,2500472,1419102,2500556,204856
59,VP1,VC1,DP1m,V,V,5304188,1419195,2500472,1419095,1419095,204856
60,VL1,V,DP1l,V,V,2500599,1419095,2500556,1419095,1419095,204856
61,DM5,DA2,VM1,VA7m,DL2d,1419102,1419133,1419153,1419121,1419171,204856
62,DC2,VA6,VM7v,D,DL1,1283103,2500515,1419157,1419148,1419144,8250
63,DP1m,VL2p,DM1,VC2,DM2,2500472,1419126,1419230,1419099,1419110,8250
64,DM2,DP1m,DM1,DM2,VA2,1419110,2500472,1419230,1419110,1419211,8250
65,VA6,VL2a,VM5d,VA1d,DA1,2500515,2500501,1194543,1283107,1419201,8250
66,VL2p,VA4,VC2,V,DM1,1419126,1283123,1419099,1419095,1419230,4927553
67,DL1,D,VA1d,D,VC4,1419144,1419148,1283107,1419148,2500615,4927553
68,VA7m,DA1,VC1,VC1,DA2,1419121,1419201,1419195,1419195,1419133,4927553
69,DC3,VL2a,DA4m,DL1,DL4,1283111,2500501,1419080,1419144,1419192,4927553
70,VL2a,VA1d,DA1,DA1,DA1,2500501,1283107,1419201,1419201,1419201,4927553
71,DC1,DA4l,DA4l,VA6,VA7l,1419168,4502221,4502221,2500515,1419088,4927553
72,DM3,V,DM1,V,DM5,1419219,1419095,1419230,1419095,1419102,4927553
73,VM3,VA4,DM1,VM2,VM3,1419178,1283123,1419230,1419073,1419178,10306
74,DM4,VA4,DM1,DM3,DL2d,1419070,1283123,1419230,1419219,1419171,10306
75,DM2,DM4,DM2,DM3,DP1m,1419110,1419070,1419110,1419219,2500472,10306
76,DL2v,DL2v,DL2d,DM4,DL2d,1419214,1419214,1419171,1419070,1419171,10306
77,D,VA7m,VA6,DA2,VC5,1419148,1419121,2500515,1419133,5604551,14430
78,VA6,DA2,DA2,DL1,VC1,2500515,1419133,1419133,1419144,1419195,14430
79,VM4,VP1,DL1,DA1,DL1,1419198,5304188,1419144,1419201,1419144,8290
80,VA6,DA1,VL2p,DC1,DA4l,2500515,1419201,1419126,1419168,4502221,8290
81,VA4,DM4,DL2d,DM1,VA2,1283123,1419070,1419171,1419230,1419211,14434
82,VM2,DM5,DP1l,VA4,VM3,1419073,1419102,2500556,1283123,1419178,14434
83,DC1,DA4l,DA4l,VA6,VA7l,1419168,4502221,4502221,2500515,1419088,14434
84,DL3,DC1,DL4,DL1,VM5d,2468810,1419168,1419192,1419144,1194543,14434
85,VC2,VL2p,VA7l,VL2p,VA4,1419099,1419126,1419088,1419126,1283123,8302
86,VA3,DA2,VC3m,VA7m,VC2,1419182,1419133,2500575,1419121,1419099,8302
87,VC4,VM7v,VA3,DM2,VL2a,2500615,1419157,1419182,1419110,2500501,8302
88,DC1,DA1,DM2,DC3,DM2,1419168,1419201,1419110,1283111,1419110,8302
89,VA1v,VA1v,DC3,DA1,DC3,2500585,2500585,1283111,1419201,1283111,8302
90,DC3,DA1,VA1v,VA1v,DA1,1283111,1419201,2500585,2500585,1419201,8306
91,DL1,DL1,VC3l,DC2,VA6,1419144,1419144,4587289,1283103,2500515,8306
92,D,VA6,DA1,VM7v,DL1,1419148,2500515,1419201,1419157,1419144,8306
93,VM7v,VM5d,DL1,VC4,VC3l,1419157,1194543,1419144,2500615,4587289,8306
94,DP1m,VL2p,VC2,DM1,DM2,2500472,1419126,1419099,1419230,1419110,8306
95,VA6,VC1,VL2p,DA1,DC1,2500515,1419195,1419126,1419201,1419168,59512
96,DA2,DM5,VA7m,DA2,VM1,1419133,1419102,1419121,1419133,1419153,59512
97,VC3m,VC4,V,DL2v,DA3,2500575,2500615,1419095,1419214,2500563,59512
98,VA3,VA7m,DM5,VA5,VA5,1419182,1419121,1419102,2500530,2500530,59512
99,VA7m,VP1,DL2d,VM1,DL2v,1419121,5304188,1419171,1419153,1419214,59512
100,DL1,DL1,DL2d,VC5,DA1,1419144,1419144,1419171,5604551,1419201,59512
101,VP2,VC1,VM4,DC1,VC1,4672152,1419195,1419198,1419168,1419195,5824641
102,V,V,DA3,VC3m,VC3m,1419095,1419095,2500563,2500575,2500575,5824641
103,DL2d,DL2v,DL2v,VC3m,V,1419171,1419214,1419214,2500575,1419095,5824641
104,DM1,VA4,DP1m,DM3,V,1419230,1283123,2500472,1419219,1419095,8322
105,DC1,VM5d,DM2,VM7v,DA1,1419168,1194543,1419110,1419157,1419201,8322
106,DM2,DM2,VA2,DP1m,DM1,1419110,1419110,1419211,2500472,1419230,8322
107,DL2v,DM3,VA2,VM2,DM2,1419214,1419219,1419211,1419073,1419110,8322
108,VM5v,VC3l,DL5,VM5v,VP1,1194549,4587289,1419118,1194549,5304188,14466
109,VM7v,DC2,DL1,VC3l,VA6,1419157,1283103,1419144,4587289,2500515,14466
110,DM6,VC4,VC5,DL1,VC3l,2500548,2500615,5604551,1419144,4587289,14466
111,DM4,VM2,DM2,VC2,VM3,1419070,1419073,1419110,1419099,1419178,14466
112,DL2d,V,DM3,DM4,VC4,1419171,1419095,1419219,1419070,2500615,14466
113,DL2d,DL2v,DP1l,DL2d,VM3,1419171,1419214,2500556,1419171,1419178,10378
114,DM4,VA4,VM3,DL2v,DM3,1419070,1283123,1419178,1419214,1419219,10378
115,DM5,V,VM2,DP1m,VC3l,1419102,1419095,1419073,2500472,4587289,10378
116,DM2,DP1m,VL2p,DM2,V,1419110,2500472,1419126,1419110,1419095,10378
117,VA6,DA4l,DC3,DC3,DC1,2500515,4502221,1283111,1283111,1419168,10378
118,VM7d,VM7v,VA1d,VM5v,DL5,1419114,1419157,1283107,1194549,1419118,16522
119,V,V,V,VL1,DP1l,1419095,1419095,1419095,2500599,2500556,16522
120,VM1,VA2,VA7m,VC3m,VA7l,1419153,1419211,1419121,2500575,1419088,16522
121,DL3,DL4,VC3m,VC3l,VA1d,2468810,1419192,2500575,4587289,1283107,14478
122,VC3l,VC3l,DL1,VM5d,VC4,4587289,4587289,1419144,1194543,2500615,14478
123,DM2,DL1,DM2,DM2,DC1,1419110,1419144,1419110,1419110,1419168,14478
124,DA2,DC3,DM5,VM5v,VA6,1419133,1283111,1419102,1194549,2500515,14478
125,VM5d,DL3,VM5d,VM5d,DL1,1194543,2468810,1194543,1194543,1419144,14478
126,DP1l,VC2,VC5,DP1m,V,2500556,1419099,5604551,2500472,1419095,8342
