,pn_skids,num_boutons,short_glom_name,significance,outdegree,num_claws,norm_num_boutons,norm_num_kcs,norm_num_claws,color,community,cluster_order_index,glom_name_ordered,rd_btn_mean,rd_btn_sd,rs_group_color
75,67408,6,DM2,Food,88,88,0.011881188,0.014062001,0.013639182,green,TRUE,0,DM2,76.771,8.842090194,green
31,56424,7,DM2,Food,105,106,0.013861386,0.016778523,0.016429014,green,TRUE,0,DM2,89.967,9.417001168,green
72,58686,16,DP1m,Food,330,354,0.031683168,0.052732502,0.054866708,green,TRUE,1,DP1m,205.39,13.96624144,red
70,54072,4,VM2,Food,51,52,0.007920792,0.008149569,0.008059516,green,TRUE,2,VM2,51.388,7.223950166,green
46,51886,3,VM2,Food,50,49,0.005940594,0.007989773,0.007594544,green,TRUE,2,VM2,38.399,6.204981789,green
19,67637,3,DL2v,Food,54,54,0.005940594,0.008628955,0.008369498,green,TRUE,3,DL2v,38.21,6.148812894,green
69,56623,3,DL2v,Food,35,35,0.005940594,0.005592841,0.005424675,green,TRUE,3,DL2v,38.268,6.20114312,green
73,61773,2,DL2v,Food,45,45,0.003960396,0.007190796,0.006974582,green,TRUE,3,DL2v,25.653,5.041288625,green
87,22422,2,DL2v,Food,25,25,0.003960396,0.003994887,0.003874768,green,TRUE,3,DL2v,25.64,5.362685894,green
52,28876,8,DM3,Food,154,167,0.015841584,0.024608501,0.025883447,green,TRUE,4,DM3,102.737,9.63482387,green
62,39682,12,DM4,Food,178,199,0.023762376,0.028443592,0.030843149,green,TRUE,5,DM4,153.461,12.42467219,green
43,30891,15,DM1,Food,223,257,0.02970297,0.035634388,0.03983261,green,TRUE,6,DM1,191.723,13.6485996,green
33,27246,3,VM3,Food,67,66,0.005940594,0.010706296,0.010229386,green,TRUE,7,VM3,38.194,6.268521676,green
78,41308,6,VM3,Food,69,68,0.011881188,0.011025887,0.010539368,green,TRUE,7,VM3,76.62,8.543629205,green
84,23432,9,VA2,Food,167,175,0.017821782,0.026685842,0.027123373,green,TRUE,8,VA2,115.34,10.61660963,green
5,23569,11,VA4,Food,161,171,0.021782178,0.025727069,0.02650341,green,TRUE,9,VA4,140.054,11.92640281,green
28,68697,4,DM6,Food,44,42,0.007920792,0.007031,0.006509609,green,FALSE,10,DM6,51.098,7.050843637,blue
82,60799,3,DM6,Food,47,47,0.005940594,0.007510387,0.007284563,green,FALSE,10,DM6,38.31,6.036712682,blue
103,57307,3,DM6,Food,41,43,0.005940594,0.006551614,0.0066646,green,FALSE,10,DM6,37.902,6.270916679,blue
13,57385,4,DM5,Aversive,35,35,0.007920792,0.005592841,0.005424675,red,FALSE,11,DM5,50.803,6.995011866,red
102,27611,6,DM5,Aversive,64,66,0.011881188,0.01022691,0.010229386,red,FALSE,11,DM5,76.615,8.380976972,red
22,22594,3,DM5,Aversive,41,41,0.005940594,0.006551614,0.006354619,red,FALSE,11,DM5,37.877,6.022281212,red
42,771242,12,DC1,Egg-laying,245,259,0.023762376,0.039149888,0.040142591,blue,FALSE,12,DC1,153.282,12.15748642,purple
110,57333,2,DL2d,Food,21,22,0.003960396,0.003355705,0.003409795,green,FALSE,13,DL2d,25.494,4.894278701,green
111,57337,1,DL2d,Food,9,9,0.001980198,0.001438159,0.001394916,green,FALSE,13,DL2d,12.81,3.685905588,green
112,57341,1,DL2d,Food,13,13,0.001980198,0.002077341,0.002014879,green,FALSE,13,DL2d,12.694,3.545470914,green
25,30791,2,DL2d,Food,54,54,0.003960396,0.008628955,0.008369498,green,FALSE,13,DL2d,25.409,4.975913886,green
95,42927,3,VC4,Unknown,38,38,0.005940594,0.006072228,0.005889647,black,FALSE,14,VC4,38.135,6.216331314,purple
16,37935,4,VC4,Unknown,34,33,0.007920792,0.005433046,0.005114693,black,FALSE,14,VC4,51.315,6.819367639,purple
68,55085,4,VC4,Unknown,49,50,0.007920792,0.007829978,0.007749535,black,FALSE,14,VC4,51.219,7.169870222,purple
30,23134,5,VC3l,Food,58,61,0.00990099,0.009268137,0.009454433,green,FALSE,15,VC3l,64.043,7.968760945,blue
54,46800,3,VC3l,Food,34,35,0.005940594,0.005433046,0.005424675,green,FALSE,15,VC3l,38.37,5.968006367,blue
32,41578,4,VC3l,Food,79,79,0.007920792,0.012623841,0.012244265,green,FALSE,15,VC3l,51.102,7.162932081,blue
93,27048,13,DP1l,Food,174,191,0.025742574,0.02780441,0.029603224,green,FALSE,16,DP1l,166.536,12.46646317,red
4,16,9,VA6,Food,156,161,0.017821782,0.024928092,0.024953503,green,FALSE,17,VA6,114.893,10.70754645,purple
58,39139,4,VM5d,Food,50,50,0.007920792,0.007989773,0.007749535,green,FALSE,18,VM5d,50.955,7.115544603,blue
36,35447,2,VM5d,Food,42,44,0.003960396,0.006711409,0.006819591,green,FALSE,18,VM5d,25.382,5.044013878,blue
50,49865,4,VM5d,Food,72,72,0.007920792,0.011505273,0.01115933,green,FALSE,18,VM5d,50.953,7.212405355,blue
105,62434,3,VM5d,Food,51,51,0.005940594,0.008149569,0.007904526,green,FALSE,18,VM5d,38.175,6.072921455,blue
29,1775706,7,DL1,Unknown,86,85,0.013861386,0.01374241,0.01317421,black,FALSE,19,DL1,89.377,9.424270317,purple
3,11544074,8,DL1,Unknown,80,86,0.015841584,0.012783637,0.0133292,black,FALSE,19,DL1,102.137,10.03554837,purple
